id,female,lb_wght,anti_k1,math,grade,occ,age,men,spring,anti,nb_wght
201,1,0,0,38,1,2,111,0,1,0,1
201,1,0,0,55,3,3,135,1,1,0,1
303,1,0,1,26,0,2,121,0,1,2,1
303,1,0,1,33,3,3,145,0,1,2,1
2702,0,0,0,56,0,2,100,.,1,0,1
2702,0,0,0,58,2,3,125,.,1,2,1
2702,0,0,0,80,6,4,173,.,1,2,1
4303,1,0,0,41,1,2,115,0,0,1,1
4303,1,0,0,58,2,3,135,0,1,2,1
5002,0,0,4,46,2,2,117,.,1,4,1
5002,0,0,4,54,4,3,145,.,0,1,1
5002,0,0,4,66,6,4,167,.,1,5,1
5005,1,0,0,35,0,2,93,0,0,2,1
5005,1,0,0,50,2,3,115,0,1,2,1
5005,1,0,0,60,4,4,139,0,1,1,1
5005,1,0,0,59,6,5,163,1,1,3,1
5701,0,0,2,62,1,2,111,.,0,2,1
5701,0,0,2,61,2,3,134,.,0,1,1
6102,0,0,0,55,2,2,120,.,0,1,1
6102,0,0,0,67,3,3,141,.,1,0,1
6102,0,0,0,81,5,4,164,.,1,0,1
6801,1,0,0,54,1,2,106,0,1,0,1
6801,1,0,0,62,3,3,130,0,1,0,1
6801,1,0,0,66,5,4,153,0,1,0,1
6802,0,0,0,55,1,2,107,.,1,0,1
6802,0,0,0,66,3,3,130,.,1,1,1
6802,0,0,0,68,5,4,153,.,1,0,1
6803,1,0,0,57,1,2,113,0,1,0,1
6803,1,0,0,70,3,3,136,0,1,1,1
9603,0,0,0,35,0,2,97,.,1,1,1
9603,0,0,0,59,2,3,120,.,1,0,1
12401,1,0,0,34,1,2,97,0,0,1,1
12401,1,0,0,50,2,3,117,0,1,1,1
12801,0,0,2,48,2,3,117,.,0,2,1
13702,1,0,0,54,1,2,109,0,1,0,1
13702,1,0,0,64,4,3,133,0,1,0,1
13702,1,0,0,63,5,4,157,0,1,0,1
13801,0,0,1,66,1,2,112,.,1,1,1
13801,0,0,1,65,3,3,135,.,1,0,1
13803,1,0,0,58,1,2,106,0,1,0,1
13803,1,0,0,60,3,3,130,0,1,0,1
17201,1,0,0,46,1,2,108,0,1,1,1
17201,1,0,0,65,3,3,132,0,1,1,1
18601,0,0,1,27,2,3,113,.,0,.,1
22104,1,0,0,24,0,2,108,0,1,0,1
22104,1,0,0,41,2,3,132,0,1,2,1
22901,0,0,0,32,1,2,101,.,0,0,1
22901,0,0,0,49,3,3,147,.,1,0,1
23602,0,0,2,57,2,3,117,.,0,1,1
23701,1,0,3,48,2,2,111,0,0,4,1
23701,1,0,3,49,4,3,136,0,0,5,1
24402,1,0,5,44,2,2,109,0,0,7,1
24402,1,0,5,59,3,3,132,1,0,4,1
26201,1,0,1,39,0,2,88,0,0,2,1
26201,1,0,1,68,3,3,131,0,1,1,1
26201,1,0,1,71,6,4,159,0,0,1,1
28503,0,0,1,14,0,2,89,.,0,0,1
28503,0,0,1,48,2,3,133,.,1,1,1
29201,0,0,1,52,0,2,101,.,1,2,1
29201,0,0,1,67,2,3,125,.,1,2,1
29201,0,0,1,65,5,4,152,.,0,2,1
29201,0,0,1,75,6,5,173,.,1,2,1
29202,0,0,0,44,0,2,104,.,1,0,1
29202,0,0,0,64,3,3,132,.,0,0,1
29202,0,0,0,73,4,4,153,.,1,0,1
34401,0,0,1,52,0,2,100,.,1,6,1
34401,0,0,1,67,2,3,124,.,1,4,1
34401,0,0,1,79,6,4,174,.,0,4,1
35401,0,0,1,44,1,2,109,.,1,0,1
35401,0,0,1,64,3,3,133,.,1,0,1
35401,0,0,1,69,5,4,157,.,1,0,1
35402,1,0,0,53,1,2,106,0,1,0,1
35402,1,0,0,45,3,3,129,0,1,0,1
35402,1,0,0,61,5,4,153,1,1,3,1
36901,1,1,1,62,1,2,105,0,1,1,0
36901,1,1,1,65,3,3,130,0,1,1,0
36901,1,1,1,74,5,4,154,1,1,3,0
36902,0,0,1,48,0,2,99,.,1,0,1
36902,0,0,1,62,2,3,122,.,1,0,1
36902,0,0,1,65,4,4,146,.,1,1,1
36902,0,0,1,72,6,5,169,.,1,0,1
37403,0,0,0,37,0,2,97,.,0,0,1
37403,0,0,0,45,4,3,146,.,0,0,1
38202,1,0,1,27,0,2,89,0,0,1,1
38202,1,0,1,38,1,3,113,0,0,0,1
38802,0,0,0,38,2,3,120,.,1,3,1
38802,0,0,0,43,4,4,145,.,1,0,1
40501,0,0,2,42,1,2,103,.,1,1,1
40501,0,0,2,52,4,3,127,.,1,2,1
40702,0,0,0,46,0,2,93,.,1,0,1
40702,0,0,0,52,2,3,117,.,1,0,1
40702,0,0,0,60,4,4,140,.,1,0,1
42504,0,0,3,47,2,2,126,.,1,4,1
42504,0,0,3,64,4,3,150,.,1,4,1
42505,1,0,0,50,1,2,108,0,1,1,1
42505,1,0,0,60,3,3,131,0,1,1,1
42505,1,0,0,53,5,4,154,0,1,0,1
43103,1,0,3,62,4,3,147,1,1,3,1
43103,1,0,3,66,6,4,170,1,1,2,1
45201,0,0,3,40,0,2,97,.,1,1,1
45201,0,0,3,63,2,3,121,.,1,3,1
45201,0,0,3,64,4,4,145,.,1,3,1
45903,0,0,2,65,1,2,109,.,1,1,1
45903,0,0,2,66,4,3,132,.,1,4,1
46201,0,0,0,51,1,2,109,.,1,0,1
46201,0,0,0,66,3,3,134,.,1,0,1
46201,0,0,0,79,5,4,157,.,1,0,1
47201,0,0,3,58,0,2,100,.,1,0,1
47201,0,0,3,63,2,3,123,.,1,0,1
47402,0,0,2,45,2,2,112,.,0,2,1
47402,0,0,2,54,4,3,157,.,1,6,1
47601,1,1,1,32,0,2,92,0,1,3,0
47601,1,1,1,48,2,3,115,0,1,1,0
47601,1,1,1,58,6,4,164,1,1,2,0
48502,0,0,0,29,0,2,100,.,1,1,1
48502,0,0,0,58,4,3,149,.,1,0,1
49501,0,0,3,35,0,2,97,.,1,3,1
49501,0,0,3,50,2,3,120,.,1,2,1
53601,1,0,2,38,1,2,105,0,0,4,1
53601,1,0,2,45,4,3,149,1,1,5,1
55201,0,0,3,65,3,3,136,.,1,2,1
55201,0,0,3,69,5,4,160,.,1,3,1
55801,1,0,1,43,2,2,111,0,1,1,1
55801,1,0,1,52,4,3,135,0,1,3,1
55801,1,0,1,63,5,4,159,1,1,2,1
56301,1,0,3,24,1,2,104,0,0,2,1
56301,1,0,3,45,3,3,129,0,0,1,1
56301,1,0,3,55,5,4,152,0,0,2,1
56302,1,0,2,37,1,2,103,0,0,1,1
56302,1,0,2,46,3,3,127,0,0,2,1
57604,0,0,4,41,0,2,97,.,1,3,1
57604,0,0,4,67,2,3,120,.,1,4,1
58503,1,0,1,25,1,3,115,0,0,3,1
58503,1,0,1,50,4,4,160,1,1,3,1
62102,0,0,2,47,1,2,104,.,1,3,1
62102,0,0,2,70,4,3,153,.,1,2,1
62103,1,1,2,14,0,2,98,0,1,1,0
62103,1,1,2,32,1,3,121,0,1,4,0
62103,1,1,2,45,3,4,145,1,1,4,0
62202,0,0,2,60,1,2,114,.,1,1,1
62202,0,0,2,66,3,3,136,.,1,0,1
62703,0,0,2,32,0,2,100,.,1,3,1
62703,0,0,2,64,4,3,149,.,1,4,1
64002,0,0,3,43,0,2,104,.,1,2,1
64002,0,0,3,51,4,3,154,.,1,4,1
65601,1,0,0,55,1,2,104,0,1,0,1
65601,1,0,0,62,4,3,128,0,1,0,1
65701,1,0,0,55,2,2,113,0,1,0,1
65701,1,0,0,71,4,3,142,0,0,0,1
66002,0,0,1,40,0,2,100,.,1,0,1
66002,0,0,1,66,4,3,149,.,1,1,1
70801,0,1,1,44,2,2,127,.,0,3,0
70801,0,1,1,52,4,3,150,.,0,1,0
73602,0,0,1,42,0,2,103,.,1,0,1
73602,0,0,1,51,2,3,127,.,1,1,1
74602,0,0,4,39,0,2,94,.,1,3,1
74602,0,0,4,53,3,3,122,.,0,3,1
75603,1,0,2,20,0,2,93,0,1,2,1
75603,1,0,2,34,3,3,120,0,0,2,1
76402,0,0,2,51,2,2,122,.,1,3,1
76402,0,0,2,45,4,3,146,.,1,2,1
76403,0,0,1,44,1,2,110,.,1,2,1
76403,0,0,1,58,3,3,134,.,1,3,1
80102,1,0,3,36,1,2,98,0,0,0,1
80102,1,0,3,55,3,3,122,0,0,3,1
80102,1,0,3,65,6,4,166,.,1,1,1
82901,1,0,4,41,1,2,122,0,1,4,1
82901,1,0,4,46,4,3,150,1,0,4,1
83001,1,0,0,39,1,2,106,0,0,1,1
83001,1,0,0,48,4,3,150,0,1,0,1
83101,1,0,3,26,0,2,96,0,1,6,1
83101,1,0,3,38,2,3,120,0,1,4,1
83101,1,0,3,43,4,4,143,0,1,4,1
83101,1,0,3,50,6,5,167,1,1,5,1
83102,1,1,2,43,1,2,110,0,1,4,0
83102,1,1,2,44,3,3,134,0,1,5,0
83602,0,0,8,49,1,2,113,.,1,3,1
83602,0,0,8,58,4,3,141,.,0,6,1
83602,0,0,8,61,6,4,165,.,0,5,1
83603,0,1,2,34,1,2,104,.,0,4,0
83603,0,1,2,53,3,3,128,.,0,3,0
83603,0,1,2,52,4,4,149,.,1,3,0
85402,0,0,0,41,2,2,127,.,0,1,1
85402,0,0,0,51,3,3,146,.,1,3,1
87501,0,0,0,48,2,2,130,.,1,0,1
87501,0,0,0,51,4,3,154,.,1,2,1
87901,1,0,2,38,1,2,96,0,1,0,1
87901,1,0,2,49,2,3,120,0,1,1,1
88902,0,0,3,27,0,2,94,.,0,3,1
88902,0,0,3,37,1,3,118,.,0,4,1
88902,0,0,3,49,5,4,162,.,1,5,1
89303,0,0,1,42,1,2,111,.,0,3,1
89303,0,0,1,47,3,3,133,.,1,2,1
89803,1,0,2,41,1,2,110,0,1,1,1
89803,1,0,2,68,4,3,135,0,1,1,1
90002,1,0,3,60,2,2,118,0,1,2,1
90002,1,0,3,65,4,3,143,0,1,1,1
92303,1,0,0,48,1,2,113,0,1,0,1
92303,1,0,0,46,4,3,140,0,0,1,1
93202,1,0,3,30,1,2,102,0,0,2,1
93202,1,0,3,43,3,3,126,0,0,0,1
93901,0,0,3,34,1,2,110,.,0,.,1
93901,0,0,3,46,3,3,134,.,0,1,1
94002,0,0,2,30,0,2,97,.,0,.,1
94002,0,0,2,61,3,3,142,.,1,3,1
94002,0,0,2,68,5,4,166,.,1,3,1
96201,1,0,1,30,0,2,91,0,0,1,1
96201,1,0,1,51,4,3,139,0,0,2,1
96201,1,0,1,50,5,4,158,1,1,4,1
96202,0,0,2,37,2,2,119,.,0,2,1
96202,0,0,2,46,3,3,139,.,1,6,1
98102,1,0,0,45,0,2,104,0,1,1,1
98102,1,0,0,60,3,3,132,0,0,0,1
98102,1,0,0,64,4,4,153,0,1,1,1
101701,1,0,1,43,1,2,108,0,1,1,1
101701,1,0,1,49,3,3,133,0,1,1,1
101701,1,0,1,46,5,4,158,1,1,1,1
101702,0,0,3,22,0,2,94,.,1,4,1
101702,0,0,3,50,2,3,120,.,1,2,1
101702,0,0,3,49,4,4,144,.,1,2,1
101702,0,0,3,57,6,5,167,.,1,3,1
103501,1,0,0,29,0,2,96,0,0,2,1
103501,1,0,0,44,4,3,141,1,1,1,1
103501,1,0,0,43,6,4,165,1,1,3,1
108201,0,0,1,58,0,2,101,.,1,0,1
108201,0,0,1,69,2,3,125,.,1,0,1
113001,1,1,1,42,1,2,109,0,0,.,0
113001,1,1,1,70,3,3,130,0,1,0,0
113001,1,1,1,67,5,4,155,1,1,2,0
113201,0,0,6,47,2,2,116,.,0,1,1
113201,0,0,6,62,3,3,136,.,1,4,1
114101,1,0,0,18,0,2,94,0,0,0,1
114101,1,0,0,50,4,3,139,0,1,0,1
114101,1,0,0,46,5,4,163,1,1,3,1
114702,0,0,3,49,2,2,115,.,0,1,1
114702,0,0,3,55,3,3,132,.,1,0,1
115901,0,0,0,35,0,2,90,.,0,0,1
115901,0,0,0,48,3,3,135,.,1,0,1
115901,0,0,0,72,6,4,159,.,1,1,1
116002,1,0,0,37,0,2,97,0,1,0,1
116002,1,0,0,61,6,4,170,.,1,0,1
116004,1,0,0,52,1,2,107,0,1,0,1
116004,1,0,0,65,3,3,130,0,1,0,1
118402,1,0,2,51,1,2,106,0,0,4,1
118402,1,0,2,65,2,3,125,0,1,3,1
118402,1,0,2,66,5,4,153,0,0,3,1
122301,1,1,1,24,1,2,107,0,0,1,0
122301,1,1,1,42,2,3,126,1,1,3,0
124201,1,0,1,35,1,2,107,0,1,1,1
124201,1,0,1,45,3,3,131,0,1,3,1
124402,1,0,2,29,1,2,107,0,1,3,1
124402,1,0,2,41,3,3,131,0,1,3,1
124402,1,0,2,44,5,4,155,1,1,4,1
125002,1,0,1,37,0,2,106,0,0,0,1
125002,1,0,1,44,2,3,127,0,1,2,1
125002,1,0,1,47,4,4,150,1,1,3,1
126101,1,0,0,41,0,2,101,0,1,0,1
126101,1,0,0,47,2,3,125,0,1,0,1
126101,1,0,0,62,4,4,150,1,1,1,1
129502,0,0,6,37,1,3,126,.,1,3,1
129502,0,0,6,43,3,4,150,.,1,8,1
129601,1,0,2,23,0,2,88,0,0,0,1
129601,1,0,2,42,2,3,113,0,0,2,1
129601,1,0,2,42,4,4,136,1,0,5,1
129601,1,0,2,49,5,5,156,1,1,4,1
129602,0,0,1,43,1,3,115,.,1,1,1
132301,0,0,0,40,1,2,93,.,1,0,1
132301,0,0,0,64,2,3,117,.,1,0,1
132402,1,0,1,28,1,2,123,0,1,1,1
132402,1,0,1,45,4,3,147,0,1,0,1
132402,1,0,1,49,5,4,171,1,1,0,1
132403,0,0,1,40,1,2,96,.,1,0,1
132403,0,0,1,40,3,3,121,.,1,1,1
132403,0,0,1,53,4,4,145,.,1,0,1
136001,1,0,5,47,4,3,161,0,1,2,1
138901,1,0,1,39,0,2,90,0,1,1,1
138901,1,0,1,44,2,3,113,0,1,1,1
138901,1,0,1,47,4,4,138,0,1,0,1
138902,0,0,2,38,1,2,102,.,1,1,1
138902,0,0,2,45,3,3,127,.,1,0,1
139902,1,0,0,46,0,2,98,0,1,0,1
139902,1,0,0,71,4,3,146,0,1,1,1
139902,1,0,0,77,6,4,169,1,1,1,1
140004,0,0,1,24,0,2,100,.,1,0,1
140004,0,0,1,52,3,3,127,.,0,5,1
140104,0,0,2,34,1,2,124,.,0,1,1
140104,0,0,2,45,4,3,170,.,0,3,1
140901,0,0,3,19,0,2,84,.,0,0,1
140901,0,0,3,47,1,3,108,.,0,1,1
140901,0,0,3,56,3,4,129,.,1,1,1
140902,0,0,4,41,0,2,98,.,1,2,1
140902,0,0,4,48,4,3,145,.,1,3,1
141001,0,0,0,47,1,2,99,.,0,0,1
141001,0,0,0,61,3,3,122,.,0,0,1
141601,0,0,0,49,1,2,112,.,0,1,1
141601,0,0,0,49,3,3,135,.,0,1,1
141603,0,1,0,37,0,2,94,.,0,2,0
141603,0,1,0,50,4,3,140,.,0,1,0
143901,0,0,1,44,1,2,108,.,1,.,1
143901,0,0,1,53,3,3,133,.,1,5,1
144004,0,0,0,44,1,2,111,.,0,3,1
144004,0,0,0,44,3,3,130,.,1,1,1
144004,0,0,0,55,5,4,153,.,1,3,1
153203,1,0,2,54,0,2,93,0,1,4,1
153203,1,0,2,66,2,3,116,0,1,2,1
153203,1,0,2,66,4,4,141,0,1,1,1
153204,0,1,4,14,0,2,105,.,1,0,0
153204,0,1,4,25,2,3,130,.,1,4,0
153801,0,0,2,46,1,2,115,.,0,1,1
153801,0,0,2,48,4,3,140,.,0,0,1
155902,1,1,5,27,0,2,112,0,1,2,0
155902,1,1,5,39,3,3,140,0,0,1,0
156401,1,1,0,52,0,2,97,0,1,0,0
156401,1,1,0,59,2,3,121,0,1,0,0
156605,1,0,3,49,1,2,104,0,1,2,1
156605,1,0,3,63,3,3,127,0,1,1,1
158701,0,0,1,60,2,2,123,.,1,3,1
158701,0,0,1,63,4,3,147,.,1,2,1
158702,1,0,1,44,0,2,97,0,1,0,1
158702,1,0,1,63,2,3,121,0,1,2,1
158702,1,0,1,67,4,4,146,1,1,2,1
158702,1,0,1,75,6,5,170,1,1,1,1
159605,1,0,2,24,2,2,123,0,1,0,1
159605,1,0,2,31,3,3,146,0,1,4,1
159606,0,0,3,28,1,2,123,.,1,0,1
159606,0,0,3,38,3,3,146,.,1,6,1
159801,0,0,2,18,0,2,99,.,1,2,1
159801,0,0,2,51,4,3,147,.,1,2,1
159801,0,0,2,54,6,4,171,.,1,0,1
165501,0,0,3,32,1,2,123,.,1,0,1
165501,0,0,3,43,4,3,147,.,1,3,1
165602,0,0,0,39,2,2,108,.,0,0,1
165602,0,0,0,64,3,3,129,.,1,0,1
165602,0,0,0,57,5,4,153,.,1,0,1
165701,0,0,2,25,1,2,112,.,1,1,1
165701,0,0,2,41,3,3,136,.,1,1,1
165701,0,0,2,40,5,4,160,.,1,1,1
165801,1,0,1,56,2,3,118,0,1,1,1
165801,1,0,1,59,3,4,141,0,1,3,1
165801,1,0,1,66,5,5,165,1,1,0,1
166602,1,0,0,40,2,2,122,0,1,0,1
166602,1,0,0,55,4,3,147,1,1,0,1
166603,1,0,0,18,0,2,101,0,1,0,1
166603,1,0,0,33,2,3,127,0,1,1,1
167501,0,0,2,49,0,2,102,.,1,1,1
167501,0,0,2,62,2,3,126,.,1,3,1
167501,0,0,2,78,4,4,151,.,1,2,1
167502,0,0,0,57,0,2,99,.,1,1,1
167502,0,0,0,70,2,3,123,.,1,0,1
167502,0,0,0,76,4,4,146,.,1,1,1
169003,0,0,2,45,2,2,118,.,1,1,1
169003,0,0,2,45,4,3,141,.,1,1,1
169003,0,0,2,61,6,4,164,.,1,1,1
170403,1,0,4,39,1,2,112,0,1,2,1
170403,1,0,4,43,3,3,135,0,1,2,1
170403,1,0,4,44,6,4,164,1,0,4,1
170404,1,0,2,33,1,2,112,0,1,0,1
170404,1,0,2,43,4,3,140,0,0,1,1
171401,0,0,0,17,0,2,88,.,1,4,1
171401,0,0,0,42,3,3,141,.,0,3,1
171401,0,0,0,48,4,4,160,.,1,2,1
172502,0,0,2,41,0,2,94,.,0,3,1
172502,0,0,2,53,1,3,116,.,1,4,1
172502,0,0,2,53,3,4,140,.,1,0,1
172502,0,0,2,57,5,5,167,.,0,2,1
173001,1,0,0,38,0,2,98,0,1,2,1
173001,1,0,0,39,4,3,147,0,1,2,1
173001,1,0,0,29,6,4,171,1,1,4,1
173201,1,0,1,50,4,3,136,0,1,2,1
174001,1,0,5,44,0,2,92,0,1,5,1
174001,1,0,5,58,2,3,115,0,1,4,1
175405,1,0,1,20,0,2,92,0,1,1,1
175405,1,0,1,29,3,3,122,0,0,1,1
175801,1,0,0,27,1,2,103,0,0,0,1
175801,1,0,0,42,4,3,147,1,1,2,1
175801,1,0,0,49,6,4,170,1,1,4,1
176003,0,1,1,57,1,2,102,.,1,0,0
176003,0,1,1,48,3,3,124,.,1,0,0
178901,1,0,1,24,0,2,99,.,0,1,1
178901,1,0,1,42,4,3,144,1,0,2,1
179401,0,0,3,33,1,2,110,.,0,4,1
179401,0,0,3,47,4,3,153,.,1,4,1
179701,0,0,2,38,1,2,103,.,0,4,1
179701,0,0,2,47,4,3,151,.,0,1,1
179701,0,0,2,51,6,4,175,.,0,2,1
180301,1,0,1,48,1,2,97,0,0,0,1
180301,1,0,1,50,4,3,141,0,1,1,1
180301,1,0,1,80,6,4,165,1,1,1,1
181801,1,0,3,43,2,2,122,0,0,3,1
181801,1,0,3,49,4,3,147,0,0,3,1
182903,0,0,1,50,3,3,138,.,1,6,1
185304,1,0,0,44,1,2,104,0,1,0,1
185304,1,0,0,45,3,3,127,0,1,1,1
187803,0,0,0,37,0,2,101,.,1,0,1
187803,0,0,0,64,4,3,150,.,1,0,1
188002,0,0,0,42,0,2,98,.,1,0,1
188002,0,0,0,58,2,3,123,.,1,1,1
188002,0,0,0,60,6,4,171,.,1,0,1
188502,0,0,0,48,1,2,112,.,1,0,1
188502,0,0,0,64,3,3,135,.,1,0,1
189601,0,0,0,51,1,2,113,.,1,2,1
189601,0,0,0,64,4,3,141,.,0,2,1
189601,0,0,0,65,5,4,162,.,1,1,1
189602,0,0,6,36,1,2,101,.,0,5,1
189602,0,0,6,51,2,3,123,.,1,5,1
189602,0,0,6,72,6,4,170,.,1,3,1
190202,1,0,0,40,1,2,103,0,1,2,1
190202,1,0,0,50,4,3,128,0,1,0,1
190501,1,0,0,68,2,2,128,0,1,0,1
190501,1,0,0,65,4,3,152,0,1,0,1
191202,0,0,4,29,0,2,91,.,1,3,1
191202,0,0,4,42,1,3,115,.,1,4,1
191202,0,0,4,62,3,4,138,.,1,3,1
191202,0,0,4,57,5,5,162,.,1,4,1
193601,1,0,0,13,0,2,103,0,1,0,1
193601,1,0,0,52,2,3,128,0,1,0,1
193601,1,0,0,58,4,4,151,0,1,0,1
193803,1,0,1,41,1,2,104,0,1,2,1
193803,1,0,1,61,3,3,128,0,1,2,1
193803,1,0,1,61,5,4,152,1,1,2,1
196002,1,0,3,31,0,2,110,0,1,3,1
196002,1,0,3,37,2,3,132,0,1,0,1
196201,0,0,1,36,1,2,97,.,0,0,1
196201,0,0,1,52,3,3,119,.,0,1,1
196201,0,0,1,61,5,4,143,.,0,0,1
196202,1,0,1,36,1,2,96,0,0,0,1
196202,1,0,1,50,4,3,140,0,1,2,1
196202,1,0,1,55,6,4,165,1,1,3,1
204602,1,0,0,51,1,2,107,0,1,0,1
204602,1,0,0,59,3,3,129,0,1,0,1
205802,1,0,2,41,1,2,93,0,1,1,1
205802,1,0,2,65,4,3,141,0,1,1,1
205802,1,0,2,81,6,4,164,1,1,1,1
207102,1,0,1,56,1,3,118,0,1,0,1
207102,1,0,1,70,4,4,142,0,1,1,1
207202,1,0,3,39,0,2,104,0,1,2,1
207202,1,0,3,52,3,3,131,0,0,.,1
207202,1,0,3,69,4,4,151,0,1,2,1
207301,1,0,3,49,2,2,125,0,1,.,1
207301,1,0,3,47,4,3,149,1,1,2,1
212001,1,0,1,45,1,2,119,1,0,1,1
212001,1,0,1,66,3,3,138,1,1,3,1
212001,1,0,1,62,5,4,161,1,1,3,1
213101,0,0,5,38,0,2,103,.,0,3,1
213101,0,0,5,42,2,3,128,.,0,4,1
213702,0,0,1,46,2,2,113,.,0,2,1
213702,0,0,1,47,3,3,133,.,1,0,1
213702,0,0,1,63,5,4,158,.,1,1,1
215304,1,0,3,31,1,2,103,0,0,3,1
215304,1,0,3,46,3,3,124,0,1,3,1
